mature_acc	terms
MIMAT0000256-0	hsa-mir-181a-5p;hsa-mir-181a
MIMAT0000256-1	hsa-mir-181a-2;hsa-mir-181a;hsa-mir-181a-1;hsa-mir-213
MIMAT0000257-0	hsa-mir-181b-5p;hsa-mir-181b
MIMAT0000257-1	hsa-mir-181b-1;hsa-mir-181b;hsa-mir-181b-2
MIMAT0000258-0	hsa-mir-181c-5p;hsa-mir-181c
MIMAT0000258-1	hsa-mir-181c
MIMAT0000259-0	hsa-mir-182-5p;hsa-mir-182
MIMAT0000259-1	hsa-mir-182;hsa-mir-182-as
MIMAT0000260-0	hsa-mir-182-3p;hsa-mir-182*
MIMAT0000260-2	hsa-mir-182;hsa-mir-182-as
MIMAT0000261-0	hsa-mir-183-5p;hsa-mir-183
MIMAT0000261-1	hsa-mir-183
MIMAT0000262-0	hsa-mir-187-3p;hsa-mir-187
MIMAT0000262-1	hsa-mir-187
MIMAT0000263-0	hsa-mir-199b-5p;hsa-mir-199b
MIMAT0000263-2	hsa-mir-199b
MIMAT0000264-0	hsa-mir-203a-3p;hsa-mir-203a
MIMAT0000264-1	hsa-mir-203a;hsa-mir-203
MIMAT0000265-0	hsa-mir-204-5p;hsa-mir-204
MIMAT0000265-1	hsa-mir-204
MIMAT0000266-0	hsa-mir-205-5p;hsa-mir-205
MIMAT0000266-1	hsa-mir-205
MIMAT0000267-0	hsa-mir-210-3p
MIMAT0000267-1	hsa-mir-210
MIMAT0000268-0	hsa-mir-211-5p;hsa-mir-211
MIMAT0000268-1	hsa-mir-211
MIMAT0000269-0	hsa-mir-212-3p;hsa-mir-212
MIMAT0000269-2	hsa-mir-212
MIMAT0000270-0	hsa-mir-181a-3p;hsa-mir-213;hsa-mir-181a*
MIMAT0000270-2	hsa-mir-181a-1;hsa-mir-213
MIMAT0000271-0	hsa-mir-214-3p;hsa-mir-214
MIMAT0000271-1	hsa-mir-214
MIMAT0000272-0	hsa-mir-215-5p
MIMAT0000272-1	hsa-mir-215
MIMAT0000273-0	hsa-mir-216a-5p;hsa-mir-216;hsa-mir-216a
MIMAT0000273-1	hsa-mir-216a;hsa-mir-216
MIMAT0000274-0	hsa-mir-217
MIMAT0000274-1	hsa-mir-217
MIMAT0000275-0	hsa-mir-218-5p;hsa-mir-218
MIMAT0000275-1	hsa-mir-218-1;hsa-mir-218-2
MIMAT0000276-0	hsa-mir-219a-5p;hsa-mir-219
MIMAT0000276-2	hsa-mir-219a-1;hsa-mir-219;hsa-mir-219a-2
MIMAT0000278-0	hsa-mir-221-3p;hsa-mir-221
MIMAT0000278-2	hsa-mir-221
MIMAT0000279-0	hsa-mir-222-3p;hsa-mir-222
MIMAT0000279-1	hsa-mir-222
MIMAT0000280-0	hsa-mir-223-3p;hsa-mir-223
MIMAT0000280-1	hsa-mir-223
MIMAT0000281-0	hsa-mir-224-5p;hsa-mir-224
MIMAT0000281-1	hsa-mir-224
MIMAT0000318-0	hsa-mir-200b-3p;hsa-mir-200b
MIMAT0000318-1	hsa-mir-200b
MIMAT0000414-0	hsa-let-7g-5p;hsa-let-7g
MIMAT0000414-1	hsa-let-7g
MIMAT0000415-0	hsa-let-7i-5p;hsa-let-7i
